rouge,f,p,r
rouge-1,0.2759794849871897,0.3943139346143967,0.24716141799946245
rouge-2,0.09547561123888158,0.1413084855444731,0.0835786220889488
rouge-l,0.23712057407381823,0.34719214602088505,0.20132975917327137
